Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Age
C2B,Airlines,Online,Silver Plan,0,12,SINGAPORE,29
C2B,Airlines,Online,Silver Plan,1,10,SINGAPORE,45
C2B,Airlines,Online,Silver Plan,0,10,SINGAPORE,46
C2B,Airlines,Online,Silver Plan,0,34,SINGAPORE,27
C2B,Airlines,Online,Annual Silver Plan,0,388,SINGAPORE,29
C2B,Airlines,Online,Annual Silver Plan,0,388,SINGAPORE,30
C2B,Airlines,Online,Annual Silver Plan,0,369,SINGAPORE,47
C2B,Airlines,Online,Annual Silver Plan,0,368,SINGAPORE,30
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,114,UNITED KINGDOM,51
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,20,ITALY,51
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,40,SOUTH AFRICA,55
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,3,MALAYSIA,28
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,85,NEW ZEALAND,35
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,5,MALAYSIA,54
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,17,UNITED STATES,32
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,6,UNITED STATES,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,133,NORWAY,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,5,UNITED KINGDOM,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,5,THAILAND,44
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,18,AUSTRALIA,51
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,5,AUSTRALIA,29
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,45,THAILAND,33
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,8,SOUTH AFRICA,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,103,UNITED STATES,29
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,12,JAPAN,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,110,SINGAPORE,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,147,UNITED KINGDOM,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,32,"TANZANIA, UNITED REPUBLIC OF",36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,26,MALAYSIA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,37,UNITED STATES,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,32,UNITED STATES,25
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,7,HONG KONG,28
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,39,SINGAPORE,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,27,INDONESIA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,22,INDONESIA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,306,JAPAN,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,11,AUSTRALIA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,12,LAO PEOPLE'S DEMOCRATIC REPUBLIC,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,21,CHINA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,56,ITALY,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,56,ITALY,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,20,THAILAND,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,41,VIET NAM,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,15,PHILIPPINES,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,20,INDIA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,9,THAILAND,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,14,THAILAND,40
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,35,SINGAPORE,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,2,MALAYSIA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,8,MALAYSIA,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,9,SINGAPORE,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,8,MALAYSIA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,10,VIET NAM,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,24,VIET NAM,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,4,SINGAPORE,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,3,MALAYSIA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,4,CHINA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,3,MALAYSIA,25
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,17,THAILAND,69
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,75,AUSTRALIA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,9,SINGAPORE,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,47,MALAYSIA,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,28,SRI LANKA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,83,PHILIPPINES,39
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,56,AUSTRALIA,36
EPX,Travel Agency,Online,Cancellation Plan,0,1,UNITED STATES,60
EPX,Travel Agency,Online,Cancellation Plan,1,73,THAILAND,36
EPX,Travel Agency,Online,Cancellation Plan,0,12,MALAYSIA,36
EPX,Travel Agency,Online,Cancellation Plan,0,15,SINGAPORE,36
EPX,Travel Agency,Online,Cancellation Plan,0,12,VIET NAM,36
EPX,Travel Agency,Online,Cancellation Plan,0,27,SINGAPORE,26
EPX,Travel Agency,Online,Cancellation Plan,0,24,MALAYSIA,36
EPX,Travel Agency,Online,Cancellation Plan,0,27,MALAYSIA,49
EPX,Travel Agency,Online,Cancellation Plan,0,41,"KOREA, REPUBLIC OF",22
EPX,Travel Agency,Online,Cancellation Plan,0,41,"KOREA, REPUBLIC OF",23
EPX,Travel Agency,Online,Cancellation Plan,0,35,MYANMAR,39
EPX,Travel Agency,Online,Cancellation Plan,0,8,UNITED STATES,55
EPX,Travel Agency,Online,Cancellation Plan,0,34,CHINA,36
EPX,Travel Agency,Online,Cancellation Plan,0,27,CAMBODIA,36
EPX,Travel Agency,Online,Cancellation Plan,0,54,"KOREA, REPUBLIC OF",36
EPX,Travel Agency,Online,Cancellation Plan,0,11,HONG KONG,36
EPX,Travel Agency,Online,Cancellation Plan,0,5,HONG KONG,36
EPX,Travel Agency,Online,Cancellation Plan,0,40,HONG KONG,28
EPX,Travel Agency,Online,Cancellation Plan,0,29,"TAIWAN, PROVINCE OF CHINA",36
EPX,Travel Agency,Online,Cancellation Plan,0,7,SINGAPORE,36
EPX,Travel Agency,Online,Cancellation Plan,0,28,THAILAND,36
EPX,Travel Agency,Online,Cancellation Plan,0,57,SRI LANKA,32
EPX,Travel Agency,Online,Cancellation Plan,0,38,UNITED STATES,38
EPX,Travel Agency,Online,Cancellation Plan,0,53,NEW ZEALAND,36
EPX,Travel Agency,Online,Cancellation Plan,0,40,SINGAPORE,45
EPX,Travel Agency,Online,Cancellation Plan,0,18,MYANMAR,36
EPX,Travel Agency,Online,Cancellation Plan,0,32,CHINA,36
EPX,Travel Agency,Online,Cancellation Plan,0,13,HONG KONG,53
EPX,Travel Agency,Online,Cancellation Plan,0,25,INDIA,36
EPX,Travel Agency,Online,Cancellation Plan,0,15,CHINA,36
EPX,Travel Agency,Online,Cancellation Plan,0,11,CHINA,36
EPX,Travel Agency,Online,Cancellation Plan,0,13,CHINA,36
EPX,Travel Agency,Online,Cancellation Plan,0,36,UNITED STATES,21
EPX,Travel Agency,Online,Cancellation Plan,0,26,MALAYSIA,54
EPX,Travel Agency,Online,Cancellation Plan,0,27,INDIA,36
EPX,Travel Agency,Online,Cancellation Plan,0,49,AUSTRALIA,36
EPX,Travel Agency,Online,Cancellation Plan,0,33,INDONESIA,36
EPX,Travel Agency,Online,Cancellation Plan,0,27,INDONESIA,28
EPX,Travel Agency,Online,Cancellation Plan,0,81,NEPAL,36
EPX,Travel Agency,Online,Cancellation Plan,0,27,HONG KONG,20
EPX,Travel Agency,Online,Cancellation Plan,0,25,AUSTRALIA,36
EPX,Travel Agency,Online,Cancellation Plan,0,82,PHILIPPINES,36
EPX,Travel Agency,Online,Cancellation Plan,0,70,"TAIWAN, PROVINCE OF CHINA",36
EPX,Travel Agency,Online,Cancellation Plan,0,19,MALAYSIA,36
EPX,Travel Agency,Online,Cancellation Plan,0,19,MALAYSIA,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,14,CHINA,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,6,MYANMAR,57
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,9,MYANMAR,36
